UGL	Antarctica/South_Pole	Union Glacier Blue-Ice Runway
YMG	America/Toronto	Manitouwadge
BDO	Asia/Jakarta	Husein Sastranegara Airport
YUD	America/Montreal	Umiujaq
YFJ	America/Yellowknife	Snare Lake
DSY	Asia/Phnom_Penh	Dara Sakor International Airport
YPC	America/Yellowknife	Paulatuk
BDQ	Asia/Kolkata	Vadodara Airport
LAK	America/Yellowknife	Aklavik
MEJ	America/New_York	Meadville
EWR	America/New_York	Newark Liberty International Airport
MEQ	Asia/Jakarta	Seunagan
YXN	America/Rankin_Inlet	Whale Cove
IUP	America/Manaus	Lorenzo Airport
MEU	America/Santarem	Monte Dourado
RLD	America/Los_Angeles	Richland
LEG	Africa/Nouakchott	Aleg
YSK	America/Iqaluit	Sanikiluaq Airport
MER	America/Los_Angeles	Castle AFB
MES	Asia/Jakarta	Polonia
NOR	Atlantic/Reykjavik	Nordfjordur
YCK	America/Yellowknife	Colville Lake
MFG	Asia/Karachi	Muzaffarabad
MFI	America/Chicago	Municipal
YSP	America/Toronto	Marathon
YST	America/Winnipeg	Ste Therese Point
YTA	America/Toronto	Pembroke And Area Airport
BXL	Pacific/Fiji	Blue Lagoon
YTQ	America/Montreal	Tasiujuaq Airport
COH	Asia/Kolkata	Cooch Behar
DDD	Indian/Maldives	Dhaalu Airport
YTW	Asia/Urumqi	Yutian Wanfang Airport
YGZ	America/Iqaluit	Grise Fiord
YLH	America/Toronto	Lansdowne House
DUN	America/Godthab	Dundas
YTL	America/Winnipeg	Big Trout
COK	Asia/Kolkata	Cochin International Airport
DWF	America/New_York	Wright AFB
EFB	America/Juneau	Eight Fathom Bight
JDE	Asia/Shanghai	Jiande Qiandaohu Airport
CYA	America/Port-au-Prince	Les Cayes
MFK	Asia/Taipei	Matsu Beigan Airport
MEW	Africa/Lubumbashi	Mweka
MFF	Africa/Libreville	Moanda
SPK	Asia/Tokyo	"Sapporo	Metropolitan Area"
YVM	America/Pangnirtung	Qikiqtarjuaq
MFS	America/Bogota	Miraflores
MFT	America/Lima	Machu Picchu
WTC	America/New_York	World Trade Center
MBN	Australia/Perth	Mt Barnett
MFQ	Africa/Niamey	Maradi
AGZ	Africa/Johannesburg	Aggeneys
DBR	Asia/Kolkata	Darbhanga Airport
DDC	America/Chicago	Dodge City Municipal Airport
MFR	America/Los_Angeles	Rogue Valley International-Medford Airport
MZD	America/Guayaquil	Mendez
YPB	America/Vancouver	Port Alberni
ZLT	America/Blanc-Sablon	La Tabatiere
LPB	America/La_Paz	El Alto International Airport
YNL	America/Regina	Points North Landing
DIO	America/Nome	Diomede Island
YYL	America/Winnipeg	Lynn Lake
YYU	America/Toronto	Kapuskasing Airport
EEA	America/Sao_Paulo	Aeroporto Regional do Planalto Serrano
TKM	America/Guatemala	El Peten
ERH	Africa/Casablanca	Moulay Ali Cherif Airport
ERI	America/New_York	Erie International Airport
ERL	Asia/Shanghai	Eren Hot Airport
EXT	Europe/London	Exeter International Airport
FFA	America/New_York	First Flight
SUR	America/Toronto	Summer Beaver
XGL	America/Winnipeg	Granville Lake
NEI	Asia/Vladivostok	Terney Airport
LPF	Asia/Shanghai	Liupanshui Yuezhao Airport
